Image_Name,Label,N,P,K,ph,soil_moisture,temperature,humidity,rainfall,sunlight_exposure,Recommendation
Critical-Deficiency-1-_hf_jpg.rf.3657016a5466d28e92921f6685e190fc.jpg,Critical Deficiency,30,20,36,5.72,5.73,15.43,39.02,25.42,4.35,URGENT: Immediate corrective actions required. Nitrogen is relatively low. Apply nitrogen-rich fertilizers like urea or compost. Phosphorus is below optimal. Use DAP or bone meal to improve root development. Soil moisture is low. Ensure regular irrigation and consider mulching. Soil pH is below optimal range. Apply lime to balance soil acidity.
Critical-Deficiency-1-_jpg.rf.f1e02132be195370edcabcc1499c109a.jpg,Critical Deficiency,63,41,48,5.36,6.35,14.68,43.82,36.16,1.86,URGENT: Immediate corrective actions required. Soil moisture is low. Ensure regular irrigation and consider mulching. Soil pH is below optimal range. Apply lime to balance soil acidity.
Critical-Deficiency-1-_vf_jpg.rf.9398527b9b401d14c5aaf0050b06cfc2.jpg,Critical Deficiency,37,49,49,5.45,3.73,15.52,23.77,64.22,2.47,URGENT: Immediate corrective actions required. Soil moisture is low. Ensure regular irrigation and consider mulching. Soil pH is below optimal range. Apply lime to balance soil acidity.
Critical-Deficiency-10-_90_jpg.rf.9c5cfaaec0fa973008f42cd5d3aca344.jpg,Critical Deficiency,52,54,26,4.83,5.74,16.94,37.29,33.92,6.53,URGENT: Immediate corrective actions required. Potassium is insufficient. Add potash fertilizers to improve plant strength. Soil moisture is low. Ensure regular irrigation and consider mulching. Soil pH is below optimal range. Apply lime to balance soil acidity.
Critical-Deficiency-10-_90_jpg.rf.e3cb3d6d2415b8299ea05807723c5377.jpg,Critical Deficiency,30,44,27,4.94,2.38,24.33,32.93,22.0,6.78,URGENT: Immediate corrective actions required. Nitrogen is relatively low. Apply nitrogen-rich fertilizers like urea or compost. Potassium is insufficient. Add potash fertilizers to improve plant strength. Soil moisture is low. Ensure regular irrigation and consider mulching. Soil pH is below optimal range. Apply lime to balance soil acidity.
Critical-Deficiency-10-_hf_jpg.rf.6d2181c600af9615cfdb71246f74d9c0.jpg,Critical Deficiency,31,26,22,5.34,8.52,15.51,37.89,16.45,5.97,URGENT: Immediate corrective actions required. Nitrogen is relatively low. Apply nitrogen-rich fertilizers like urea or compost. Phosphorus is below optimal. Use DAP or bone meal to improve root development. Potassium is insufficient. Add potash fertilizers to improve plant strength. Soil moisture is low. Ensure regular irrigation and consider mulching. Soil pH is below optimal range. Apply lime to balance soil acidity.
Critical-Deficiency-10-_jpg.rf.d8881b42358c69c156ba5cc8a1bd5d4a.jpg,Critical Deficiency,44,40,47,5.3,15.42,14.53,39.09,41.57,4.77,URGENT: Immediate corrective actions required. Soil moisture is low. Ensure regular irrigation and consider mulching. Soil pH is below optimal range. Apply lime to balance soil acidity.
Critical-Deficiency-10-_vf_jpg.rf.5d00a9365675d769bbf2df945b8f6922.jpg,Critical Deficiency,45,65,28,7.5,9.7,19.4,17.39,42.53,4.27,URGENT: Immediate corrective actions required. Potassium is insufficient. Add potash fertilizers to improve plant strength. Soil moisture is low. Ensure regular irrigation and consider mulching.
Critical-Deficiency-104-_hf_jpg.rf.b702fc94406d540d6eae78adc4d11278.jpg,Critical Deficiency,31,47,39,5.45,8.41,17.6,18.19,20.68,4.3,URGENT: Immediate corrective actions required. Nitrogen is relatively low. Apply nitrogen-rich fertilizers like urea or compost. Soil moisture is low. Ensure regular irrigation and consider mulching. Soil pH is below optimal range. Apply lime to balance soil acidity.
Critical-Deficiency-104-_jpg.rf.0d4bcb8bf9ff844db23667b2760a6f0a.jpg,Critical Deficiency,0,60,30,4.64,7.21,15.79,43.07,42.7,8.88,URGENT: Immediate corrective actions required. Nitrogen is relatively low. Apply nitrogen-rich fertilizers like urea or compost. Potassium is insufficient. Add potash fertilizers to improve plant strength. Soil moisture is low. Ensure regular irrigation and consider mulching. Soil pH is below optimal range. Apply lime to balance soil acidity.
